,Diesase_Name,overview,symptoms_elements,symptoms_paragraph
10,Hidradenitis suppurativa,Illustration of hidradenitis suppurativa on different skin colors. This condition usually appears as one or more tender bumps that fill with pus. It often occurs in the armpits.,"Blackheads.Blackheads appear in small, pitted areas of skin, often appearing in pairs.Painful pea-sized lumps.The condition usually starts with a single, painful lump under the skin that persists for weeks or months. More bumps may form later, usually in areas where you have more sweat and oil glands or where the skin rubs together, such as the armpits, groin, buttocks and breasts.Leaking bumps or sores.Some bumps or sores get bigger, break open and drain pus with an odor.Tunnels.Over time, tunnels might form under the skin, connecting the lumps. These wounds heal slowly, if at all, and drain blood and pus.",Hidradenitis suppurativa can affect one or several areas of the body. Signs and symptoms of the condition include:
11,Acoustic neuroma,"An acoustic neuroma, also known as a vestibular schwannoma, is a noncancerous tumor. It develops on the balance nerve, known as the vestibular nerve, and on the auditory nerve, known as the cochlear nerve. These nerves lead from your inner ear to the brain, as shown in the top image. The pressure on the nerve from the tumor may cause hearing loss and imbalance. In some cases, the tumor may grow and affect the cerebellum or other brain tissues, as shown in the magnetic resonance imaging (MRI) scan and illustrations above.","Hearing loss, usually gradually over months to years. In rare cases, hearing loss can be sudden. Hearing loss usually occurs on one side or is worse on one side.Ringing in the affected ear, known as tinnitus.Loss of balance or not feeling steady.Dizziness.Facial numbness and, very rarely, weakness or loss of muscle movement.","Symptoms of an acoustic neuroma are often easy to miss and may take years to develop. Symptoms may occur because of the tumor's effects on the hearing and balance nerves. The tumor also can put pressure on nearby nerves controlling facial muscles, known as the facial nerve, and sensation, known as the trigeminal nerve. Blood vessels or brain structures also can be affected by an acoustic neuroma."
12,HIV/AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","FeverHeadacheMuscle aches and joint painRashSore throat and painful mouth soresSwollen lymph glands, mainly on the neckDiarrheaWeight lossCoughNight sweats","The symptoms of HIV and AIDS vary, depending on the phase of infection."
13,Acromegaly,"Symptoms of acromegaly include an enlarged face and hands. Changes to the face may cause the brow bone and lower jawbone to protrude, and the nose and lips to get larger.","Enlarged hands and feetEnlarged facial features, including the facial bones, lips, nose and tongueCoarse, oily, thickened skinExcessive sweating and body odorSmall outgrowths of skin tissue (skin tags)Fatigue and joint or muscle weaknessPain and limited joint mobilityA deepened, husky voice due to enlarged vocal cords and sinusesSevere snoring due to obstruction of the upper airwayVision problemsHeadaches, which may be persistent or severeMenstrual cycle irregularities in womenErectile dysfunction in menLoss of interest in sex","A common sign of acromegaly is enlarged hands and feet. For example, you may notice that you aren't able to put on rings that used to fit, and that your shoe size has progressively increased."
14,Acute coronary syndrome,"Acute coronary syndrome is a term that describes a range of conditions related to sudden, reduced blood flow to the heart. These conditions include a heart attack and unstable angina.","Chest pain or discomfort. This is often described as aching, pressure, tightness or burning. Chest pain also is called angina.Pain that starts in the chest and spreads to other parts of the body. These areas include the shoulders, arms, upper belly area, back, neck or jaw.Nausea or vomiting.Indigestion.Shortness of breath, also called dyspnea.Sudden, heavy sweating.Racing heartbeat.Feeling lightheaded or dizzy.Fainting.Unusual fatigue.",The symptoms of acute coronary syndrome usually begin suddenly. They include:
15,Acute myelogenous leukemia,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"FeverBone painLethargy and fatigueShortness of breathPale skinFrequent infectionsEasy bruisingUnusual bleeding, such as frequent nosebleeds and bleeding from the gums",General signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases.
16,Guillain-Barre syndrome,"The demyelinating form of Guillain-Barre syndrome destroys the protective covering of the peripheral nerves (myelin sheath), preventing the nerves from transmitting signals to the brain.","A pins and needles sensation in your fingers, toes, ankles or wristsWeakness in your legs that spreads to your upper bodyUnsteady walking or inability to walk or climb stairsDifficulty with facial movements, including speaking, chewing or swallowingDouble vision or inability to move the eyesSevere pain that may feel achy, shooting or cramplike and may be worse at nightDifficulty with bladder control or bowel functionRapid heart rateLow or high blood pressureDifficulty breathing","Guillain-Barre syndrome often begins with tingling and weakness starting in your feet and legs and spreading to your upper body and arms. Some people notice the first symptoms in the arms or face. As Guillain-Barre syndrome progresses, muscle weakness can turn into paralysis."
17,Acute kidney failure,"The kidneys remove waste and excess fluid from the blood through structures called nephrons. Each nephron contains a filter called a glomerulus that has a network of tiny blood vessels called capillaries. When blood flows into a glomerulus, tiny molecules — water, essential minerals and nutrients, and wastes — pass through the capillary walls. Large molecules, such as proteins and red blood cells, do not. The filtered solution then passes into another part of the nephron called the tubule. The water, nutrients and minerals that the body needs are transferred back to the bloodstream. The excess water and waste become urine that flows to the bladder.","Decreased urine output, although occasionally urine output remains normalFluid retention, causing swelling in your legs, ankles or feetShortness of breathFatigueConfusionNauseaWeaknessIrregular heartbeatChest pain or pressureSeizures or coma in severe cases",Signs and symptoms of acute kidney failure may include:
18,Acute liver failure,"Acute liver failure is loss of liver function that occurs quickly — in days or weeks — usually in a person who has no preexisting liver disease. It's most commonly caused by a hepatitis virus or drugs, such as acetaminophen. Acute liver failure is less common than chronic liver failure, which develops more slowly.",Yellowing of your skin and eyeballs (jaundice)Pain in your upper right abdomenA swollen belly (ascites)NauseaVomitingA general sense of feeling unwell (malaise)Disorientation or confusionSleepinessBreath may have a musty or sweet odorTremors,Signs and symptoms of acute liver failure may include:
19,Acute lymphocytic leukemia,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"Bleeding from the gumsBone painFeverFrequent infectionsFrequent or severe nosebleedsLumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groinPale skinShortness of breathWeakness, fatigue or a general decrease in energy",Signs and symptoms of acute lymphocytic leukemia may include:
20,Acute lymphocytic leukemia,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"Bleeding from the gumsBone painFeverFrequent infectionsFrequent or severe nosebleedsLumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groinPale skinShortness of breathWeakness, fatigue or a general decrease in energy",Signs and symptoms of acute lymphocytic leukemia may include:
21,Acute lymphocytic leukemia,Acute lymphocytic leukemia (ALL) is a type of cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"Bleeding from the gumsBone painFeverFrequent infectionsFrequent or severe nosebleedsLumps caused by swollen lymph nodes in and around the neck, armpits, abdomen or groinPale skinShortness of breathWeakness, fatigue or a general decrease in energy",Signs and symptoms of acute lymphocytic leukemia may include:
22,Acute myelogenous leukemia,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"FeverBone painLethargy and fatigueShortness of breathPale skinFrequent infectionsEasy bruisingUnusual bleeding, such as frequent nosebleeds and bleeding from the gums",General signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases.
23,Acute myelogenous leukemia,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"FeverBone painLethargy and fatigueShortness of breathPale skinFrequent infectionsEasy bruisingUnusual bleeding, such as frequent nosebleeds and bleeding from the gums",General signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases.
24,Acute myelogenous leukemia,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"FeverBone painLethargy and fatigueShortness of breathPale skinFrequent infectionsEasy bruisingUnusual bleeding, such as frequent nosebleeds and bleeding from the gums",General signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases.
25,Acute myelogenous leukemia,Acute myelogenous leukemia (AML) is a cancer of the blood and bone marrow — the spongy tissue inside bones where blood cells are made.,"FeverBone painLethargy and fatigueShortness of breathPale skinFrequent infectionsEasy bruisingUnusual bleeding, such as frequent nosebleeds and bleeding from the gums",General signs and symptoms of the early stages of acute myelogenous leukemia may mimic those of the flu or other common diseases.
26,Radiation sickness,Radiation sickness is damage to your body caused by a large dose of radiation often received over a short period of time (acute). The amount of radiation absorbed by the body — the absorbed dose — determines how sick you'll be.,Nausea and vomitingDiarrheaHeadacheFeverDizziness and disorientationWeakness and fatigueHair lossBloody vomit and stools from internal bleedingInfectionsLow blood pressure,"The severity of signs and symptoms of radiation sickness depends on how much radiation you've absorbed. How much you absorb depends on the strength of the radiated energy, the time of your exposures, and the distance between you and the source of radiation."
27,Radiation sickness,Radiation sickness is damage to your body caused by a large dose of radiation often received over a short period of time (acute). The amount of radiation absorbed by the body — the absorbed dose — determines how sick you'll be.,Nausea and vomitingDiarrheaHeadacheFeverDizziness and disorientationWeakness and fatigueHair lossBloody vomit and stools from internal bleedingInfectionsLow blood pressure,"The severity of signs and symptoms of radiation sickness depends on how much radiation you've absorbed. How much you absorb depends on the strength of the radiated energy, the time of your exposures, and the distance between you and the source of radiation."
28,Acute kidney failure,"The kidneys remove waste and excess fluid from the blood through structures called nephrons. Each nephron contains a filter called a glomerulus that has a network of tiny blood vessels called capillaries. When blood flows into a glomerulus, tiny molecules — water, essential minerals and nutrients, and wastes — pass through the capillary walls. Large molecules, such as proteins and red blood cells, do not. The filtered solution then passes into another part of the nephron called the tubule. The water, nutrients and minerals that the body needs are transferred back to the bloodstream. The excess water and waste become urine that flows to the bladder.","Decreased urine output, although occasionally urine output remains normalFluid retention, causing swelling in your legs, ankles or feetShortness of breathFatigueConfusionNauseaWeaknessIrregular heartbeatChest pain or pressureSeizures or coma in severe cases",Signs and symptoms of acute kidney failure may include:
29,ARDS,"Acute respiratory distress syndrome (ARDS) occurs when fluid builds up in the tiny, elastic air sacs (alveoli) in your lungs. The fluid keeps your lungs from filling with enough air, which means less oxygen reaches your bloodstream. This deprives your organs of the oxygen they need to function.",Severe shortness of breathLabored and unusually rapid breathingLow blood pressureConfusion and extreme tiredness,"The signs and symptoms of ARDS can vary in intensity, depending on its cause and severity, as well as the presence of underlying heart or lung disease. They include:"
30,Acute sinusitis,Acute sinusitis causes the spaces inside your nose (sinuses) to become inflamed and swollen. This interferes with drainage and causes mucus to build up.,"Thick, yellow or greenish mucus from the nose (runny nose) or down the back of the throat (postnasal drainage)Blocked or stuffy nose (congestion) causing difficulty breathing through your nosePain, tenderness, swelling and pressure around your eyes, cheeks, nose or forehead that worsens when bending over",Acute sinusitis signs and symptoms often include:
31,Alcohol use disorder,"Alcohol use disorder is a pattern of alcohol use that involves problems controlling your drinking, being preoccupied with alcohol or continuing to use alcohol even when it causes problems. This disorder also involves having to drink more to get the same effect or having withdrawal symptoms when you rapidly decrease or stop drinking. Alcohol use disorder includes a level of drinking that's sometimes called alcoholism.","Being unable to limit the amount of alcohol you drinkWanting to cut down on how much you drink or making unsuccessful attempts to do soSpending a lot of time drinking, getting alcohol or recovering from alcohol useFeeling a strong craving or urge to drink alcoholFailing to fulfill major obligations at work, school or home due to repeated alcohol useContinuing to drink alcohol even though you know it's causing physical, social, work or relationship problemsGiving up or reducing social and work activities and hobbies to use alcoholUsing alcohol in situations where it's not safe, such as when driving or swimmingDeveloping a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amountExperiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms","Alcohol use disorder can be mild, moderate or severe, based on the number of symptoms you experience. Signs and symptoms may include:"
32,Nicotine dependence,"Nicotine dependence occurs when you need nicotine and can't stop using it. Nicotine is the chemical in tobacco that makes it hard to quit. Nicotine produces pleasing effects in your brain, but these effects are temporary. So you reach for another cigarette.","You can't stop smoking.You've made one or more serious, but unsuccessful, attempts to stop.You have withdrawal symptoms when you try to stop.Your attempts at stopping have caused physical and mood-related symptoms, such as strong cravings, anxiety, irritability, restlessness, difficulty concentrating, depressed mood, frustration, anger, increased hunger, insomnia, constipation or diarrhea.You keep smoking despite health problems.Even though you've developed health problems with your lungs or your heart, you haven't been able to stop.You give up social activities.You may stop going to smoke-free restaurants or stop socializing with family or friends because you can't smoke in these situations.","For some people, using any amount of tobacco can quickly lead to nicotine dependence. Signs that you may be addicted include:"
33,Addison's disease,"Addison's disease, also called adrenal insufficiency, is an uncommon illness that occurs when the body doesn't make enough of certain hormones. In Addison's disease, the adrenal glands make too little cortisol and, often, too little of another hormone, aldosterone.","Extreme fatigueWeight loss and loss of appetiteAreas of darkened skinLow blood pressure, even faintingSalt cravingLow blood sugar, also called hypoglycemiaNausea, diarrhea or vomitingAbdominal painMuscle and joint painIrritabilityDepressionBody hair loss or sexual issues in some people","Addison's disease symptoms usually happen slowly, often over months. The disease can move so slowly that people who have it may ignore the symptoms at first. Then a stress, such as illness or injury, makes symptoms worse."
34,Mesenteric lymphadenitis,The mesentery is a fold of membrane that attaches the intestine to the abdominal wall and holds it in place. Mesenteric lymphadenitis is an inflammation of the lymph nodes in the mesentery.,"Abdominal pain, often centered on the lower right side, but the pain can be more widespreadGeneral abdominal tendernessFeverMesenteric lymph node enlargement",Possible signs and symptoms of mesenteric lymphadenitis include:
35,Attention-deficit/hyperactivity disorder (ADHD) in children,"Attention-deficit/hyperactivity disorder (ADHD) is a chronic condition that affects millions of children and often continues into adulthood. ADHD includes a combination of persistent problems, such as difficulty sustaining attention, hyperactivity and impulsive behavior.",Predominantly inattentive.The majority of symptoms fall under inattention.Predominantly hyperactive/impulsive.The majority of symptoms are hyperactive and impulsive.Combined.This is a mix of inattentive symptoms and hyperactive/impulsive symptoms.,"The primary features of ADHD include inattention and hyperactive-impulsive behavior. ADHD symptoms start before age 12, and in some children, they're noticeable as early as 3 years of age. ADHD symptoms can be mild, moderate or severe, and they may continue into adulthood."
36,Adult attention-deficit/hyperactivity disorder (ADHD),"Adult attention-deficit/hyperactivity disorder (ADHD) is a mental health disorder that includes a combination of persistent problems, such as difficulty paying attention, hyperactivity and impulsive behavior. Adult ADHD can lead to unstable relationships, poor work or school performance, low self-esteem, and other problems.",ImpulsivenessDisorganization and problems prioritizingPoor time management skillsProblems focusing on a taskTrouble multitaskingExcessive activity or restlessnessPoor planningLow frustration toleranceFrequent mood swingsProblems following through and completing tasksHot temperTrouble coping with stress,"Some people with ADHD have fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features of ADHD may include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe."
37,Frozen shoulder,Frozen shoulder occurs when the connective tissue enclosing the joint thickens and tightens.,"Freezing stage.Any movement of the shoulder causes pain, and the shoulder's ability to move becomes limited. This stage lasts from 2 to 9 months.Frozen stage.Pain might lessen during this stage. However, the shoulder becomes stiffer. Using it becomes more difficult. This stage lasts from 4 to 12 months.Thawing stage.The shoulder's ability to move begins to improve. This stage lasts from 5 to 24 months.",Frozen shoulder typically develops slowly in three stages.
38,Adjustment disorders,"Adjustment disorders are excessive reactions to stress that involve negative thoughts, strong emotions and changes in behavior. The reaction to a stressful change or event is much more intense than would typically be expected. This can cause a lot of problems in getting along with others, as well as at work or school.","Feeling sad, hopeless or not enjoying things you used to enjoy.Crying often.Worrying, or feeling anxious, nervous, jittery or stressed out.Feeling irritable or like you can't handle anything and don't know where to start.Having trouble sleeping.Not eating enough.Having difficulty concentrating.Having difficulty with daily activities.Withdrawing from family and friends who support you socially.Not doing important things, such as going to work or paying bills.Thinking about suicide or acting on those thoughts.","Symptoms depend on the type of adjustment disorder. These symptoms can vary from person to person. You experience more stress than would generally be expected in response to a trying event, and this stress causes a lot of problems in your life."
39,Adnexal tumors,"The ovaries, fallopian tubes, uterus, cervix and vagina (vaginal canal) make up the female reproductive system.",,
40,Childhood schizophrenia,"Childhood schizophrenia is an uncommon but severe mental disorder in which children and teenagers interpret reality abnormally. Schizophrenia involves a range of problems with thinking (cognitive), behavior or emotions. It may result in some combination of hallucinations, delusions, and extremely disordered thinking and behavior that impairs your child's ability to function.",Problems with thinking and reasoningBizarre ideas or speechConfusing dreams or television for reality,"Schizophrenia involves a range of problems with thinking, behavior or emotions. Signs and symptoms may vary, but usually involve delusions, hallucinations or disorganized speech, and reflect an impaired ability to function. The effect can be disabling."
41,Adrenal cancer,"Located on top of each kidney, the adrenal glands make hormones that help regulate metabolism, the immune system, blood pressure and other important functions. Although small, these glands control much of what happens in the body.","Weight gainMuscle weaknessPink or purple stretch marks on the skinHormone changes in women that might cause excess facial hair, hair loss on the head and irregular periodsHormone changes in men that might cause enlarged breast tissue and shrinking testiclesNauseaVomitingAbdominal bloatingBack painFeverLoss of appetiteLoss of weight without trying",Signs and symptoms of adrenal cancer include:
42,Benign adrenal tumors,"Located on top of each kidney, the adrenal glands make hormones that help regulate metabolism, the immune system, blood pressure and other important functions. Although small, these glands control much of what happens in the body.",,
43,Adrenoleukodystrophy,Adrenoleukodystrophy (uh-dree-noh-loo-koh-DIS-truh-fee) is a type of hereditary (genetic) condition that damages the membrane (myelin sheath) that insulates nerve cells in your brain.,,
44,Adult attention-deficit/hyperactivity disorder (ADHD),"Adult attention-deficit/hyperactivity disorder (ADHD) is a mental health disorder that includes a combination of persistent problems, such as difficulty paying attention, hyperactivity and impulsive behavior. Adult ADHD can lead to unstable relationships, poor work or school performance, low self-esteem, and other problems.",ImpulsivenessDisorganization and problems prioritizingPoor time management skillsProblems focusing on a taskTrouble multitaskingExcessive activity or restlessnessPoor planningLow frustration toleranceFrequent mood swingsProblems following through and completing tasksHot temperTrouble coping with stress,"Some people with ADHD have fewer symptoms as they age, but some adults continue to have major symptoms that interfere with daily functioning. In adults, the main features of ADHD may include difficulty paying attention, impulsiveness and restlessness. Symptoms can range from mild to severe."
45,Adult Still disease,"Adult Still disease is a rare type of inflammatory arthritis. Common symptoms are fevers, rash and joint pain. The condition can occur in some people as a single episode that goes away. In other people, the condition doesn't go away, or it goes away but comes back.","Fever.Fever may rise to at least 102 degrees Fahrenheit (38.9 degrees Celsius). The fever may spike once or twice a day for a week or longer.Rash.A rash might come and go with the fever. The rash usually appears on the trunk, arms or legs.Sore throat.This is one of the first symptoms of adult Still disease. The lymph nodes in the neck might be swollen and tender.Achy and swollen joints.Joints — especially in the knees and wrists— might be stiff, painful and inflamed. Ankles, elbows, hands and shoulders also might ache. The joint discomfort usually lasts at least two weeks.Muscle pain.Muscular pain usually comes and goes with the fever. The pain can be severe enough to disrupt daily activities.",Most people with adult Still disease have a combination of the following symptoms:
46,Dry macular degeneration,"As macular degeneration develops, clear, typical vision (left) becomes impaired by a general haziness. With advanced macular degeneration, a blind spot forms at the center of the visual field (right).","Visual distortions, such as straight lines seeming bent.Reduced central vision in one or both eyes.The need for brighter light when reading or doing close-up work.Increased difficulty adapting to low light levels, such as when entering a dimly lit restaurant or theater.Increased blurriness of printed words.Difficulty recognizing faces.A well-defined blurry spot or blind spot in the field of vision.",Dry macular degeneration symptoms usually develop gradually and without pain. They may include:
47,Wet macular degeneration,"As macular degeneration develops, clear, typical vision (left) becomes impaired by a general haziness. With advanced macular degeneration, a blind spot forms at the center of the visual field (right).","Visual distortions, such as straight lines seeming bent.Reduced central vision in one or both eyes.The need for brighter light when reading or doing close-up work.Difficulty adjusting to low light levels, such as when entering a dimly lit restaurant or theater.Increased blurriness of printed words.Difficulty recognizing faces.A well-defined blurry spot or blind spot in the field of vision.",Wet macular degeneration symptoms usually appear suddenly and worsen quickly. They may include:
48,Myelofibrosis,Myelofibrosis is an uncommon type of bone marrow cancer that disrupts your body's normal production of blood cells.,"Feeling tired, weak or short of breath, usually because of anemiaPain or fullness below your ribs on the left side, due to an enlarged spleenEasy bruisingEasy bleedingExcessive sweating during sleep (night sweats)FeverBone pain","Myelofibrosis usually develops slowly. In its very early stages, many people don't experience signs or symptoms."
49,Agoraphobia,"Agoraphobia (ag-uh-ruh-FOE-be-uh) is a type of anxiety disorder. Agoraphobia involves fearing and avoiding places or situations that might cause panic and feelings of being trapped, helpless or embarrassed. You may fear an actual or upcoming situation. For example, you may fear using public transportation, being in open or enclosed spaces, standing in line, or being in a crowd.","Leaving home alone.Crowds or waiting in line.Enclosed spaces, such as movie theaters, elevators or small stores.Open spaces, such as parking lots, bridges or malls.Using public transportation, such as a bus, plane or train.",Typical agoraphobia symptoms include fear of:
50,Guillain-Barre syndrome,"The demyelinating form of Guillain-Barre syndrome destroys the protective covering of the peripheral nerves (myelin sheath), preventing the nerves from transmitting signals to the brain.","A pins and needles sensation in your fingers, toes, ankles or wristsWeakness in your legs that spreads to your upper bodyUnsteady walking or inability to walk or climb stairsDifficulty with facial movements, including speaking, chewing or swallowingDouble vision or inability to move the eyesSevere pain that may feel achy, shooting or cramplike and may be worse at nightDifficulty with bladder control or bowel functionRapid heart rateLow or high blood pressureDifficulty breathing","Guillain-Barre syndrome often begins with tingling and weakness starting in your feet and legs and spreading to your upper body and arms. Some people notice the first symptoms in the arms or face. As Guillain-Barre syndrome progresses, muscle weakness can turn into paralysis."
51,HIV/AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.","FeverHeadacheMuscle aches and joint painRashSore throat and painful mouth soresSwollen lymph glands, mainly on the neckDiarrheaWeight lossCoughNight sweats","The symptoms of HIV and AIDS vary, depending on the phase of infection."
52,Albinism,"The term albinism usually refers to oculocutaneous (ok-u-low-ku-TAY-nee-us) albinism (OCA). OCA is a group of disorders passed down in families where the body makes little or none of a substance called melanin. The type and amount of melanin in your body determines the color of your skin, hair and eyes. Melanin also plays a role in the development and function of the eyes, so people with albinism have vision problems.","Freckles.Moles, with or without color, which are sometimes pink.Large freckle-like spots, called solar lentigines (len-TIJ-ih-neez).Sunburn and no ability to tan.","Symptoms of albinism involve skin, hair and eye color, as well as vision."
53,Alcohol use disorder,"Alcohol use disorder is a pattern of alcohol use that involves problems controlling your drinking, being preoccupied with alcohol or continuing to use alcohol even when it causes problems. This disorder also involves having to drink more to get the same effect or having withdrawal symptoms when you rapidly decrease or stop drinking. Alcohol use disorder includes a level of drinking that's sometimes called alcoholism.","Being unable to limit the amount of alcohol you drinkWanting to cut down on how much you drink or making unsuccessful attempts to do soSpending a lot of time drinking, getting alcohol or recovering from alcohol useFeeling a strong craving or urge to drink alcoholFailing to fulfill major obligations at work, school or home due to repeated alcohol useContinuing to drink alcohol even though you know it's causing physical, social, work or relationship problemsGiving up or reducing social and work activities and hobbies to use alcoholUsing alcohol in situations where it's not safe, such as when driving or swimmingDeveloping a tolerance to alcohol so you need more to feel its effect or you have a reduced effect from the same amountExperiencing withdrawal symptoms — such as nausea, sweating and shaking — when you don't drink, or drinking to avoid these symptoms","Alcohol use disorder can be mild, moderate or severe, based on the number of symptoms you experience. Signs and symptoms may include:"
